Opportunity is missed by most people because it is dressed in overalls and looks like work.,Work
The reward for work well done is the opportunity to do more.,Work
"Hard work spotlights the character of people: some turn up their sleeves, some turn up their noses, and some don't turn up at all.",Work
All things are difficult before they are easy.,Work
Let the beauty of what you love be what you do.,Work
"Let us realize that: the privilege to work is a gift, the power to work is a blessing, the love of work is success!",Work
The only thing that overcomes hard luck is hard work.,Work
"Be regular and orderly in your life, so that you may be violent and original in your work.",Work
Work is much more fun than fun.,Work
"The harder I work, the luckier I get.",Work
"When your work speaks for itself, don't interrupt.",Work
"The power of one, if fearless and focused, is formidable, but the power of many working together is better.",Work
Nobody ever drowned in his own sweat.,Work
The beginning is the most important part of the work.,Work
Working hard and working smart sometimes can be two different things.,Work
"It's like Forrest Gump said, 'Life is like a box of chocolates.' Your career is like a box of chocolates - you never know what you're going to get. But everything you get is going to teach you something along the way and make you the person you are today. That's the exciting part - it's an adventure in itself.",Work
Honor lies in honest toil.,Work
"I put my heart and my soul into my work, and have lost my mind in the process.",Work
Unemployment is capitalism's way of getting you to plant a garden.,Work
Good things happen to those who hustle.,Work
"Opportunities are usually disguised as hard work, so most people don't recognize them.",Work
"If you must have motivation, think of your paycheck on Friday.",Work
"When you form a team, why do you try to form a team? Because teamwork builds trust and trust builds speed.",Work
Far and away the best prize that life has to offer is the chance to work hard at work worth doing.,Work
Nothing will work unless you do.,Work
Work gives you meaning and purpose and life is empty without it.,Work
"Nothing ever comes to one, that is worth having, except as a result of hard work.",Work
"I've learned from experience that if you work harder at it, and apply more energy and time to it, and more consistency, you get a better result. It comes from the work.",Work
I believe in stopping work and eating lunch.,Work
The only place success comes before work is in the dictionary.,Work
"All life demands struggle. Those who have everything given to them become lazy, selfish, and insensitive to the real values of life. The very striving and hard work that we so constantly try to avoid is the major building block in the person we are today.",Work
There is no substitute for hard work.,Work
Quality is everyone's responsibility.,Work
Without labor nothing prospers.,Work
"Don't stay in bed, unless you can make money in bed.",Work
By working faithfully eight hours a day you may eventually get to be boss and work twelve hours a day.,Work
"Never continue in a job you don't enjoy. If you're happy in what you're doing, you'll like yourself, you'll have inner peace. And if you have that, along with physical health, you will have had more success than you could possibly have imagined.",Work
The best preparation for good work tomorrow is to do good work today.,Work
"Individual commitment to a group effort - that is what makes a team work, a company work, a society work, a civilization work.",Work
He who seeks rest finds boredom. He who seeks work finds rest.,Work
The supreme accomplishment is to blur the line between work and play.,Work
"A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.",Work
"Work, look for peace and calm in work: you will find it nowhere else.",Work
"When a man tells you that he got rich through hard work, ask him: 'Whose?'",Work
Working hard is very important. You're not going to get anywhere without working extremely hard.,Work
The only way to enjoy anything in this life is to earn it first.,Work
The brain is a wonderful organ; it starts working the moment you get up in the morning and does not stop until you get into the office.,Work
To find joy in work is to discover the fountain of youth.,Work
"It is an immutable law in business that words are words, explanations are explanations, promises are promises-but only performance is reality.",Work
All wealth is the product of labor.,Work
"The harder you work... and visualize something, the luckier you get.",Work
Work is the curse of the drinking classes.,Work
"Careers, like rockets, don't always take off on time. The trick is to always keep the engine running.",Work
"Choose a job you love, and you will never have to work a day in your life.",Work
One thing I never want to be accused of is not working.,Work
"Organizing is what you do before you do something, so that when you do it, it is not all mixed up.",Work
"And where I excel is ridiculous, sickening, work ethic. You know, while the other guy's sleeping? I'm working.",Work
Quality is pride of workmanship.,Work
Blessed is he who has found his work; let him ask no other blessedness.,Work
Plans are only good intentions unless they immediately degenerate into hard work.,Work
"Every man's work, whether it be literature, or music or pictures or architecture or anything else, is always a portrait of himself.",Work
Management is nothing more than motivating other people.,Work
"For me, every day is a new thing. I approach each project with a new insecurity, almost like the first project I ever did. And I get the sweats. I go in and start working, I'm not sure where I'm going. If I knew where I was going I wouldn't do it.",Work
"I know you've heard it a thousand times before. But it's true - hard work pays off. If you want to be good, you have to practice, practice, practice. If you don't love something, then don't do it.",Work
Work will win when wishy washy wishing won t.,Work
"Before you start some work, always ask yourself three questions - Why am I doing it, What the results might be and Will I be successful. Only when you think deeply and find satisfactory answers to these questions, go ahead.",Work
"Whatever your life's work is, do it well. A man should do his job so well that the living, the dead, and the unborn could do it no better.",Work
It is the working man who is the happy man. It is the idle man who is the miserable man.,Work
Economics is extremely useful as a form of employment for economists.,Work
"Luck is a dividend of sweat. The more you sweat, the luckier you get.",Work
Nothing is work unless you'd rather be doing something else.,Work
Going to work for a large company is like getting on a train. Are you going sixty miles an hour or is the train going sixty miles an hour and you're just sitting still?,Work
Men for the sake of getting a living forget to live.,Work
Work is not man's punishment. It is his reward and his strength and his pleasure.,Work
"Laziness may appear attractive, but work gives satisfaction.",Work
"Married couples who work together to build and maintain a business assume broad responsibilities. Not only is their work important to our local and national economies, but their success is central to the well-being of their families.",Work
"Without work, all life goes rotten. But when work is soulless, life stifles and dies.",Work
Be open to the amazing changes which are occurring in the field that interest you.,Work
The end of labor is to gain leisure.,Work
We have a system that increasingly taxes work and subsidizes nonwork.,Work
Inspiration comes of working every day.,Work
If you don't want to work you have to work to earn enough money so that you won't have to work.,Work
"If you put all your strength and faith and vigor into a job and try to do the best you can, the money will come.",Work
"O man you are busy working for the world, and the world is busy trying to turn you out.",Work
What you are will show in what you do.,Work
I have been up against tough competition all my life. I wouldn't know how to get along without it.,Work
Every noble work is at first impossible.,Work
"Work, apart from devotion or love of God, is helpless and cannot stand alone.",Work
"Everyone has been made for some particular work, and the desire for that work has been put in every heart.",Work
Life grants nothing to us mortals without hard work.,Work
"We work to become, not to acquire.",Work
"To fulfill a dream, to be allowed to sweat over lonely labor, to be given a chance to create, is the meat and potatoes of life. The money is the gravy.",Work
Work expands so as to fill the time available for its completion.,Work
The reason a lot of people do not recognize opportunity is because it usually goes around wearing overalls looking like hard work.,Work
"Can anything be sadder than work left unfinished? Yes, work never begun.",Work
Management must manage!,Work
"Once you start a working on something, don't be afraid of failure and don't abandon it. People who work sincerely are the happiest.",Work
"The more I want to get something done, the less I call it work.",Work
"A good job is more than just a paycheck. A good job fosters independence and discipline, and contributes to the health of the community. A good job is a means to provide for the health and welfare of your family, to own a home, and save for retirement.",Work
Luck? I don't know anything about luck. I've never banked on it and I'm afraid of people who do. Luck to me is something else: Hard work - and realizing what is opportunity and what isn't.,Work
There are one hundred men seeking security to one able man who is willing to risk his fortune.,Work
"To find out what one is fitted to do, and to secure an opportunity to do it, is the key to happiness.",Work
"People who work together will win, whether it be against complex football defenses, or the problems of modern society.",Work
"Do not hire a man who does your work for money, but him who does it for love of it.",Work
No fine work can be done without concentration and self-sacrifice and toil and doubt.,Work
I never did a day's work in my life. It was all fun.,Work
"Your chances of success are directly proportional to the degree of pleasure you desire from what you do. If you are in a job you hate, face the fact squarely and get out.",Work
By the work one knows the workman.,Work
Concentrate on your job and you will forget your other troubles.,Work
Work isn't to make money; you work to justify life.,Work
"I guess we all like to be recognized not for one piece of fireworks, but for the ledger of our daily work.",Work
"Work is love made visible. And if you cannot work with love but only with distaste, it is better that you should leave your work and sit at the gate of the temple and take alms of those who work with joy.",Work
Work alone is noble.,Work
Ya gots to work with what you gots to work with.,Work
Honest labor bears a lovely face.,Work
Most people treat the office manual the way they treat a software manual. They never look at it.,Work
"It can be liberating to get fired because you realize the world doesn't end. There's other ways to make money, better jobs.",Work
The will to work of everyone in the country is the best guarantee of national survival.,Work
"To be a poet is a condition, not a profession.",Work
There is joy in work. There is no happiness except in the realization that we have accomplished something.,Work
Work is a necessary evil to be avoided.,Work
Big jobs usually go to the men who prove their ability to outgrow small ones.,Work
All labor that uplifts humanity has dignity and importance and should be undertaken with painstaking excellence.,Work
The greatest teacher I know is the job itself.,Work
One man's wage increase is another man's price increase.,Work
Find a job you like and you add five days to every week.,Work
"Two months after I got out of test pilot school, I saw an advert that said NASA was recruiting more astronauts. The best job you could have as a test pilot was being an astronaut, so I volunteered.",Work
I work to stay alive.,Work
The idea of having a steady job is appealing.,Work
I can't imagine anything more worthwhile than doing what I most love. And they pay me for it.,Work
The taxpayer - that's someone who works for the federal government but doesn't have to take the civil service examination.,Work
"No one can arrive from being talented alone, work transforms talent into genius.",Work
You're blessed if you have the strength to work.,Work
"Let us touch the dying, the poor, the lonely and the unwanted according to the graces we have received and let us not be ashamed or slow to do the humble work.",Work
I'd like to dial it back 5% or 10% and try to have a vacation that's not just e-mail with a view.,Work
"There is always the danger that we may just do the work for the sake of the work. This is where the respect and the love and the devotion come in - that we do it to God, to Christ, and that's why we try to do it as beautifully as possible.",Work
"I have found in work that you only get back what you put into it, but it does come back gift-wrapped.",Work
"When more and more people are thrown out of work, unemployment results.",Work
It is your work in life that is the ultimate seduction.,Work
Big pay and little responsibility are circumstances seldom found together.,Work
"Being an astronaut is a wonderful career. I feel very privileged. But what I really hope for young people is that they find a career they're passionate about, something that's challenging and worthwhile.",Work
No person who is enthusiastic about his work has anything to fear from life.,Work
Gentleness doesn't get work done unless you happen to be a hen laying eggs.,Work
"I mean I don't really think about it. You know, do you know what I often say to myself? I think you're very lucky in life if you know what you want to do.",Work
"It's easier to change what you do than people think it is. If you don't change, your field changes around you.",Work
Give yourself something to work toward - constantly.,Work
Work is accomplished by those employees who have not yet reached their level of incompetence.,Work
Anyone who can walk to the welfare office can walk to work.,Work
My experience has been that work is almost the best way to pull oneself out of the depths.,Work
A manager is responsible for the application and performance of knowledge.,Work
The pay is good and I can walk to work.,Work
"Teaching was the hardest work I had ever done, and it remains the hardest work I have done to date.",Work
Every man loves what he is good at.,Work
I've got a woman's ability to stick to a job and get on with it when everyone else walks off and leaves it.,Work
"I thought the attractions of being an astronaut were actually, not so much the Moon, but flying in a completely new medium.",Work
"And to get real work experience, you need a job, and most jobs will require you to have had either real work experience or a graduate degree.",Work
I'm working myself to death.,Work
There is no disgrace in working. There was no silver spoon around at the time I was born.,Work
"I have always argued that change becomes stressful and overwhelming only when you've lost any sense of the constancy of your life. You need firm ground to stand on. From there, you can deal with that change.",Work
My husband changed jobs so fast that I simply never knew what business he was in.,Work
Work is a prayer. And I start off every morning dedicating it to our Creator.,Work
Work is a necessity for man. Man invented the alarm clock.,Work
The biggest job we have is to teach a newly hired employee how to fail intelligently. We have to train him to experiment over and over and to keep on trying and failing until he learns what will work.,Work
If Botticelli were alive today he'd be working for Vogue.,Work
Labor gives birth to ideas.,Work
"When a work lifts your spirits and inspires bold and noble thoughts in you, do not look for any other standard to judge by: the work is good, the product of a master craftsman.",Work
I think about my work every minute of the day.,Work
"I think the person who takes a job in order to live - that is to say, for the money - has turned himself into a slave.",Work
Managers in all too many American companies do not achieve the desired results because nobody makes them do it.,Work
"As I understand it, sport is hard work for which you do not get paid.",Work
"Because I have work to care about, it is possible that I may be less difficult to get along with than other women when the double chins start to form.",Work
"Dreaming in public is an important part of our job description, as science writers, but there are bad dreams as well as good dreams. We're dreamers, you see, but we're also realists, of a sort.",Work
"As an actor, to have achieved financial stability is amazing. But I always have this weird fear that I'm not going to get any more work; it's about not having enough money.",Work
It is only when I am doing my work that I feel truly alive.,Work
There's something to be said in favor of working in isolation in the real world.,Work
I met an American woman and got married so I had to get a job.,Work
"Put off thy cares with thy clothes; so shall thy rest strengthen thy labor, and so thy labor sweeten thy rest.",Work
I always got my work done before playing.,Work
"I work 338 days a year, 16 hours a day.",Work
"There is a vast world of work out there in this country, where at least 111 million people are employed in this country alone - many of whom are bored out of their minds. All day long.",Work
"For the last several years and culminating in six months in orbit next year, I've been training for my third space flight. This one is almost in a category completely different than the previous two, specifically to live in on the space station for six months, to command a space ship and to fly a new rocket ship.",Work
